Upper and lower bounds for the problem
Iteration 597; Item picked: Cube_12; Base position: 1222.995634829099 mm; Feasibility: NO! 
Iteration 598; Item picked: Cube_11; Base position: -1198.5177442285187 mm; Feasibility: NO! 
Iteration: 599;  Base position: 375.61894426692174 mm; Feasibility: YES!; Manipulability: 0.14317 
Iteration: 600;  Base position: 738.2625595347458 mm; Feasibility: YES!; Manipulability: 0.13637 
Iteration 601; Item picked: Cube_12; Base position: -418.1062075316586 mm; Feasibility: NO! 
Iteration: 602;  Base position: -33.20168506948585 mm; Feasibility: YES!; Manipulability: 0.16097 
Iteration: 603;  Base position: 241.28698654876007 mm; Feasibility: YES!; Manipulability: 0.16256 
Iteration 604; Item picked: Cube_12; Base position: -900.6746612673636 mm; Feasibility: NO! 
Iteration 605; Item picked: Cube_12; Base position: -1102.3916022782728 mm; Feasibility: NO! 
Iteration: 606;  Base position: 955.7092440632741 mm; Feasibility: YES!; Manipulability: 0.10023 
Iteration: 607;  Base position: 290.70106143950034 mm; Feasibility: YES!; Manipulability: 0.11748 
Iteration 608; Item picked: Cube_12; Base position: -1074.459102835464 mm; Feasibility: NO! 
Iteration 609; Item picked: Cube_12; Base position: 1411.5127594558126 mm; Feasibility: NO! 
Iteration 610; Item picked: Cube_10; Base position: -740.1413587806727 mm; Feasibility: NO! 
Iteration 611; Item picked: Cube_11; Base position: -1192.263633657703 mm; Feasibility: NO! 
Iteration: 612;  Base position: 17.468652838923617 mm; Feasibility: YES!; Manipulability: 0.15667 
Iteration 613; Item picked: Cube_12; Base position: 936.1067443770844 mm; Feasibility: NO! 
Iteration: 614;  Base position: -50.170028969587975 mm; Feasibility: YES!; Manipulability: 0.16671 
Iteration 615; Item picked: Cube_12; Base position: -973.0437643473202 mm; Feasibility: NO! 
Iteration 616; Item picked: Cube_12; Base position: -1261.536852824536 mm; Feasibility: NO! 
Iteration: 617;  Base position: -152.88171266014342 mm; Feasibility: YES!; Manipulability: 0.14795 
Iteration 618; Item picked: Cube_10; Base position: -613.7262033933838 mm; Feasibility: NO! 
Iteration 619; Item picked: Cube_11; Base position: 1333.410629035377 mm; Feasibility: NO! 
Iteration 620; Item picked: Cube_12; Base position: -1041.9132893676292 mm; Feasibility: NO! 
Iteration: 621;  Base position: 534.4356923606485 mm; Feasibility: YES!; Manipulability: 0.1046 
Iteration: 622;  Base position: 453.52890827663555 mm; Feasibility: YES!; Manipulability: 0.11637 
Iteration 623; Item picked: Cube_11; Base position: -888.492703041823 mm; Feasibility: NO! 
Iteration 624; Item picked: Cube_12; Base position: -494.6855523393939 mm; Feasibility: NO! 
Iteration 625; Item picked: Cube_10; Base position: -804.1957047796333 mm; Feasibility: NO! 
Iteration 626; Item picked: Cube_11; Base position: -710.6870905727305 mm; Feasibility: NO! 
Iteration 627; Item picked: Cube_10; Base position: -1256.0282033165734 mm; Feasibility: NO! 
Iteration 628; Item picked: Cube_12; Base position: 968.6579200442884 mm; Feasibility: NO! 
Iteration 629; Item picked: Cube_12; Base position: 1257.696644775221 mm; Feasibility: NO! 
Iteration: 630;  Base position: 451.89276987577523 mm; Feasibility: YES!; Manipulability: 0.10456 
Iteration 631; Item picked: Cube_12; Base position: -712.8705383299585 mm; Feasibility: NO! 
Iteration: 632;  Base position: 73.27732039933221 mm; Feasibility: YES!; Manipulability: 0.15248 
Iteration 633; Item picked: Cube_10; Base position: -1037.176816427011 mm; Feasibility: NO! 
Iteration 634; Item picked: Cube_11; Base position: -1307.3663378119388 mm; Feasibility: NO! 
Iteration: 635;  Base position: -377.3566937450014 mm; Feasibility: YES!; Manipulability: 0.15609 
Iteration: 636;  Base position: -9.412809341368984 mm; Feasibility: YES!; Manipulability: 0.15643 
Iteration: 637;  Base position: 435.0295789707209 mm; Feasibility: YES!; Manipulability: 0.11694 
Iteration 638; Item picked: Cube_12; Base position: -1186.805594634259 mm; Feasibility: NO! 
Iteration 639; Item picked: Cube_12; Base position: -738.8337408484265 mm; Feasibility: NO! 
Iteration 640; Item picked: Cube_12; Base position: -1087.4324696414753 mm; Feasibility: NO! 
Iteration 641; Item picked: Cube_10; Base position: -891.4563592319635 mm; Feasibility: NO! 
Iteration: 642;  Base position: -369.79615930829414 mm; Feasibility: YES!; Manipulability: 0.15593 
Iteration: 643;  Base position: 807.240375674653 mm; Feasibility: YES!; Manipulability: 0.12128 
Iteration 644; Item picked: Cube_11; Base position: 904.0200164982957 mm; Feasibility: NO! 
Iteration 645; Item picked: Cube_11; Base position: 1428.931348460204 mm; Feasibility: NO! 
Iteration: 646;  Base position: 435.06167487508196 mm; Feasibility: YES!; Manipulability: 0.14127 
Iteration 647; Item picked: Cube_11; Base position: 1161.4919611537298 mm; Feasibility: NO! 
Iteration 648; Item picked: Cube_10; Base position: 1363.574183161968 mm; Feasibility: NO! 
Iteration 649; Item picked: Cube_12; Base position: -988.5599810826748 mm; Feasibility: NO! 
Iteration: 650;  Base position: 487.4421512042377 mm; Feasibility: YES!; Manipulability: 0.14371 
Iteration 651; Item picked: Cube_12; Base position: -1123.083555189096 mm; Feasibility: NO! 
Iteration 652; Item picked: Cube_10; Base position: -853.3915402922423 mm; Feasibility: NO! 
Iteration 653; Item picked: Cube_12; Base position: 1103.4283432656143 mm; Feasibility: NO! 
Iteration 654; Item picked: Cube_10; Base position: -1095.0452340338622 mm; Feasibility: NO! 
Iteration 655; Item picked: Cube_10; Base position: 1202.1839618682015 mm; Feasibility: NO! 
Iteration: 656;  Base position: 553.0544531390242 mm; Feasibility: YES!; Manipulability: 0.1247 
Iteration 657; Item picked: Cube_11; Base position: -1152.582798644027 mm; Feasibility: NO! 
Iteration 658; Item picked: Cube_11; Base position: -828.3631260443971 mm; Feasibility: NO! 
Iteration 659; Item picked: Cube_12; Base position: -916.0353850836573 mm; Feasibility: NO! 
Iteration: 660;  Base position: 373.53745390019617 mm; Feasibility: YES!; Manipulability: 0.10621 
Iteration: 661;  Base position: -249.50949359543893 mm; Feasibility: YES!; Manipulability: 0.15455 
Iteration: 662;  Base position: 346.34868896012176 mm; Feasibility: YES!; Manipulability: 0.12293 
Iteration: 663;  Base position: -389.4749062406006 mm; Feasibility: YES!; Manipulability: 0.15165 
Iteration: 664;  Base position: 988.02476362585 mm; Feasibility: YES!; Manipulability: 0.08672 
Iteration 665; Item picked: Cube_12; Base position: -914.5466620712945 mm; Feasibility: NO! 
Iteration: 666;  Base position: -284.2410465477524 mm; Feasibility: YES!; Manipulability: 0.15417 
Iteration: 667;  Base position: -402.6392334537245 mm; Feasibility: YES!; Manipulability: 0.15518 
Iteration 668; Item picked: Cube_11; Base position: -596.6412981280805 mm; Feasibility: NO! 
Iteration: 669;  Base position: -275.61733409768726 mm; Feasibility: YES!; Manipulability: 0.1697 
Iteration: 670;  Base position: 501.9982566798908 mm; Feasibility: YES!; Manipulability: 0.12656 
Iteration: 671;  Base position: 967.9812161625609 mm; Feasibility: YES!; Manipulability: 0.07151 
Iteration: 672;  Base position: 336.73792473438084 mm; Feasibility: YES!; Manipulability: 0.15558 
Iteration: 673;  Base position: -205.63009102485194 mm; Feasibility: YES!; Manipulability: 0.17222 
Iteration 674; Item picked: Cube_10; Base position: -906.8637972329273 mm; Feasibility: NO! 
Iteration: 675;  Base position: -127.18131408564386 mm; Feasibility: YES!; Manipulability: 0.16448 
Iteration: 676;  Base position: 210.20221519830784 mm; Feasibility: YES!; Manipulability: 0.13435 
Iteration 677; Item picked: Cube_11; Base position: 1376.7700416612365 mm; Feasibility: NO! 
Iteration: 678;  Base position: -138.1358372395291 mm; Feasibility: YES!; Manipulability: 0.16569 
Iteration 679; Item picked: Cube_10; Base position: -633.5332848724084 mm; Feasibility: NO! 
Iteration 680; Item picked: Cube_11; Base position: -1205.5056511989526 mm; Feasibility: NO! 
Iteration 681; Item picked: Cube_11; Base position: -1077.8760363528456 mm; Feasibility: NO! 
Iteration: 682;  Base position: -193.2226118643457 mm; Feasibility: YES!; Manipulability: 0.167 
Iteration 683; Item picked: Cube_12; Base position: -650.9920371007859 mm; Feasibility: NO! 
Iteration: 684;  Base position: 712.6933781538291 mm; Feasibility: YES!; Manipulability: 0.13031 
Iteration 685; Item picked: Cube_10; Base position: -773.4237510513047 mm; Feasibility: NO! 
Iteration: 686;  Base position: -13.937646460478845 mm; Feasibility: YES!; Manipulability: 0.18151 
Iteration: 687;  Base position: 323.2257566750634 mm; Feasibility: YES!; Manipulability: 0.1466 
Iteration: 688;  Base position: 814.3936196346231 mm; Feasibility: YES!; Manipulability: 0.09811 
Iteration 689; Item picked: Cube_12; Base position: 1179.285450257256 mm; Feasibility: NO! 
Iteration 690; Item picked: Cube_12; Base position: 1242.3791418958222 mm; Feasibility: NO! 
Iteration 691; Item picked: Cube_10; Base position: -904.5704433971308 mm; Feasibility: NO! 
Iteration 692; Item picked: Cube_12; Base position: -1128.844672883839 mm; Feasibility: NO! 
Iteration: 693;  Base position: 907.9156499570681 mm; Feasibility: YES!; Manipulability: 0.10449 
Iteration: 694;  Base position: 823.7063580976514 mm; Feasibility: YES!; Manipulability: 0.1207 
Iteration 695; Item picked: Cube_12; Base position: -439.283481173718 mm; Feasibility: NO! 
Iteration 696; Item picked: Cube_12; Base position: -567.8270991583611 mm; Feasibility: NO! 
Iteration: 697;  Base position: 32.769989095703295 mm; Feasibility: YES!; Manipulability: 0.16117 
Iteration: 698;  Base position: 356.63977469815677 mm; Feasibility: YES!; Manipulability: 0.10764 
Iteration 699; Item picked: Cube_10; Base position: -722.6564404288166 mm; Feasibility: NO! 
Iteration: 700;  Base position: -335.4726962943573 mm; Feasibility: YES!; Manipulability: 0.16407 
Iteration 701; Item picked: Cube_10; Base position: -582.8135771647409 mm; Feasibility: NO! 
Iteration: 702;  Base position: 371.7750633486005 mm; Feasibility: YES!; Manipulability: 0.12189 
Iteration: 703;  Base position: -142.330209010104 mm; Feasibility: YES!; Manipulability: 0.16744 
Iteration: 704;  Base position: 920.9975934388362 mm; Feasibility: YES!; Manipulability: 0.10418 
Iteration 705; Item picked: Cube_10; Base position: 1418.3568995342457 mm; Feasibility: NO! 
Iteration 706; Item picked: Cube_12; Base position: -1004.67164227256 mm; Feasibility: NO! 
Iteration 707; Item picked: Cube_11; Base position: -730.2658270822417 mm; Feasibility: NO! 
Iteration 708; Item picked: Cube_11; Base position: 1273.9921947705548 mm; Feasibility: NO! 
Iteration: 709;  Base position: 204.75599153679013 mm; Feasibility: YES!; Manipulability: 0.13483 
Iteration: 710;  Base position: -156.1981128772161 mm; Feasibility: YES!; Manipulability: 0.1517 
Iteration 711; Item picked: Cube_10; Base position: -1312.2868752572422 mm; Feasibility: NO! 
Iteration: 712;  Base position: 401.7303518633478 mm; Feasibility: YES!; Manipulability: 0.13994 
Iteration: 713;  Base position: 475.19841483428036 mm; Feasibility: YES!; Manipulability: 0.13356 
Iteration 714; Item picked: Cube_11; Base position: -1031.818611318201 mm; Feasibility: NO! 
Iteration 715; Item picked: Cube_12; Base position: -376.1402921466547 mm; Feasibility: NO! 
Iteration 716; Item picked: Cube_10; Base position: -729.3735857355553 mm; Feasibility: NO! 
Iteration 717; Item picked: Cube_10; Base position: 1004.8803941178244 mm; Feasibility: NO! 
Iteration: 718;  Base position: 601.3689803865173 mm; Feasibility: YES!; Manipulability: 0.12491 
Iteration 719; Item picked: Cube_12; Base position: -975.6641946032413 mm; Feasibility: NO! 
Iteration: 720;  Base position: 543.6177123779773 mm; Feasibility: YES!; Manipulability: 0.11387 
Iteration: 721;  Base position: 410.3117381061229 mm; Feasibility: YES!; Manipulability: 0.11558 
Iteration: 722;  Base position: -447.00331511321224 mm; Feasibility: YES!; Manipulability: 0.15223 
Iteration 723; Item picked: Cube_10; Base position: -1126.50414817488 mm; Feasibility: NO! 
Iteration: 724;  Base position: 146.88146503343728 mm; Feasibility: YES!; Manipulability: 0.12015 
Iteration 725; Item picked: Cube_12; Base position: -1234.0018074782638 mm; Feasibility: NO! 
Iteration: 726;  Base position: 84.21289218475454 mm; Feasibility: YES!; Manipulability: 0.17534 
Iteration 727; Item picked: Cube_10; Base position: -726.7409961377545 mm; Feasibility: NO! 
Iteration 728; Item picked: Cube_10; Base position: -1012.9782160122917 mm; Feasibility: NO! 
Iteration: 729;  Base position: -351.89625707823734 mm; Feasibility: YES!; Manipulability: 0.15551 
Iteration 730; Item picked: Cube_12; Base position: -584.0289021625958 mm; Feasibility: NO! 
Iteration: 731;  Base position: -274.10609969780353 mm; Feasibility: YES!; Manipulability: 0.15475 
Iteration: 732;  Base position: -195.21753247940205 mm; Feasibility: YES!; Manipulability: 0.16884 
Iteration: 733;  Base position: 359.6498256546886 mm; Feasibility: YES!; Manipulability: 0.1664 
Iteration 734; Item picked: Cube_11; Base position: -683.4694813646838 mm; Feasibility: NO! 
Iteration 735; Item picked: Cube_10; Base position: -649.3245834592474 mm; Feasibility: NO! 
Iteration 736; Item picked: Cube_12; Base position: -865.2099818916643 mm; Feasibility: NO! 
Iteration 737; Item picked: Cube_10; Base position: -927.8441884861726 mm; Feasibility: NO! 
Iteration 738; Item picked: Cube_12; Base position: 1496.8705673526897 mm; Feasibility: NO! 
Iteration 739; Item picked: Cube_12; Base position: -534.4836741165863 mm; Feasibility: NO! 
Iteration 740; Item picked: Cube_10; Base position: 1090.3694361392468 mm; Feasibility: NO! 
Iteration 741; Item picked: Cube_10; Base position: -1048.5513965521272 mm; Feasibility: NO! 
Iteration: 742;  Base position: 206.33546604039634 mm; Feasibility: YES!; Manipulability: 0.14093 
Iteration: 743;  Base position: -389.4805635203784 mm; Feasibility: YES!; Manipulability: 0.15165 
Iteration 744; Item picked: Cube_11; Base position: -1460.722791025406 mm; Feasibility: NO! 
Iteration: 745;  Base position: 287.586363620009 mm; Feasibility: YES!; Manipulability: 0.17113 
Iteration: 746;  Base position: 808.7420482100374 mm; Feasibility: YES!; Manipulability: 0.09829 
Iteration: 747;  Base position: -189.92817691169853 mm; Feasibility: YES!; Manipulability: 0.17235 
Iteration 748; Item picked: Cube_12; Base position: 1186.082172688989 mm; Feasibility: NO! 
Iteration: 749;  Base position: 386.9788539549618 mm; Feasibility: YES!; Manipulability: 0.16458 
Iteration 750; Item picked: Cube_12; Base position: -562.8841319844797 mm; Feasibility: NO! 
Iteration: 751;  Base position: 304.07627457940157 mm; Feasibility: YES!; Manipulability: 0.1461 
Iteration: 752;  Base position: 376.1404517420167 mm; Feasibility: YES!; Manipulability: 0.12169 
Iteration 753; Item picked: Cube_10; Base position: 1380.3745405489885 mm; Feasibility: NO! 
Iteration 754; Item picked: Cube_11; Base position: -1008.3115741014551 mm; Feasibility: NO! 
Iteration 755; Item picked: Cube_12; Base position: -1004.9861673599592 mm; Feasibility: NO! 
Iteration: 756;  Base position: 631.8551423081767 mm; Feasibility: YES!; Manipulability: 0.11201 
Iteration 757; Item picked: Cube_12; Base position: -402.61361940346023 mm; Feasibility: NO! 
Iteration: 758;  Base position: -235.3842490281022 mm; Feasibility: YES!; Manipulability: 0.16835 
Iteration: 759;  Base position: 720.2600476553666 mm; Feasibility: YES!; Manipulability: 0.11962 
Iteration: 760;  Base position: 132.87098596289343 mm; Feasibility: YES!; Manipulability: 0.17985 
Iteration 761; Item picked: Cube_10; Base position: 1473.343086842598 mm; Feasibility: NO! 
Iteration: 762;  Base position: -68.5155934492027 mm; Feasibility: YES!; Manipulability: 0.14221 
Iteration: 763;  Base position: -527.785073981482 mm; Feasibility: YES!; Manipulability: 0.13919 
Iteration 764; Item picked: Cube_11; Base position: -1078.1590066600916 mm; Feasibility: NO! 
Iteration 765; Item picked: Cube_12; Base position: -1441.1784861592046 mm; Feasibility: NO! 
Iteration 766; Item picked: Cube_12; Base position: -973.6464062445315 mm; Feasibility: NO! 
Iteration: 767;  Base position: 708.3678414711821 mm; Feasibility: YES!; Manipulability: 0.11995 
Iteration 768; Item picked: Cube_12; Base position: 942.383106688143 mm; Feasibility: NO! 
Iteration 769; Item picked: Cube_11; Base position: -1197.667498902579 mm; Feasibility: NO! 
Iteration: 770;  Base position: -441.69987540233706 mm; Feasibility: YES!; Manipulability: 0.11841 
Iteration: 771;  Base position: 83.44874017739312 mm; Feasibility: YES!; Manipulability: 0.15172 
Iteration 772; Item picked: Cube_11; Base position: -1033.0437671520222 mm; Feasibility: NO! 
Iteration 773; Item picked: Cube_11; Base position: -1063.784591312668 mm; Feasibility: NO! 
Iteration 774; Item picked: Cube_12; Base position: -1286.6280761107305 mm; Feasibility: NO! 
Iteration 775; Item picked: Cube_11; Base position: -671.6944432868107 mm; Feasibility: NO! 
Iteration 776; Item picked: Cube_11; Base position: 1367.4862633182915 mm; Feasibility: NO! 
Iteration 777; Item picked: Cube_10; Base position: 1393.0886804831175 mm; Feasibility: NO! 
Iteration: 778;  Base position: 701.3153940034422 mm; Feasibility: YES!; Manipulability: 0.11155 
Iteration: 779;  Base position: -92.09741544285066 mm; Feasibility: YES!; Manipulability: 0.14288 
Iteration 780; Item picked: Cube_12; Base position: -430.92272126199214 mm; Feasibility: NO! 
Iteration 781; Item picked: Cube_10; Base position: -1445.055084262201 mm; Feasibility: NO! 
Iteration: 782;  Base position: 187.468545769299 mm; Feasibility: YES!; Manipulability: 0.15321 
Iteration 783; Item picked: Cube_10; Base position: -1385.849887663635 mm; Feasibility: NO! 
Iteration: 784;  Base position: -178.3759055293849 mm; Feasibility: YES!; Manipulability: 0.1827 
Iteration 785; Item picked: Cube_10; Base position: 1337.9110648349842 mm; Feasibility: NO! 
Iteration 786; Item picked: Cube_10; Base position: -1188.49287720728 mm; Feasibility: NO! 
Iteration 787; Item picked: Cube_11; Base position: 1192.0631048891273 mm; Feasibility: NO! 
Iteration 788; Item picked: Cube_12; Base position: -1216.302716764958 mm; Feasibility: NO! 
Iteration: 789;  Base position: 179.34399035894012 mm; Feasibility: YES!; Manipulability: 0.13691 
Iteration: 790;  Base position: -520.081363333055 mm; Feasibility: YES!; Manipulability: 0.14174 
Iteration 791; Item picked: Cube_11; Base position: -960.1184881805876 mm; Feasibility: NO! 
Iteration: 792;  Base position: -211.92291433488253 mm; Feasibility: YES!; Manipulability: 0.16785 
Iteration 793; Item picked: Cube_10; Base position: -1396.3941924125995 mm; Feasibility: NO! 
Iteration 794; Item picked: Cube_12; Base position: -1115.7083114167663 mm; Feasibility: NO! 
Iteration: 795;  Base position: -350.75993973828804 mm; Feasibility: YES!; Manipulability: 0.15669 
Iteration: 796;  Base position: -291.73006590596015 mm; Feasibility: YES!; Manipulability: 0.15617 
Iteration 797; Item picked: Cube_12; Base position: -438.36915107804975 mm; Feasibility: NO! 
Iteration 798; Item picked: Cube_11; Base position: -664.8021529965005 mm; Feasibility: NO! 
Iteration: 799;  Base position: 315.7847339095024 mm; Feasibility: YES!; Manipulability: 0.12778 
Iteration 800; Item picked: Cube_11; Base position: -640.4712032796608 mm; Feasibility: NO! 
Iteration 801; Item picked: Cube_11; Base position: 880.3314220549619 mm; Feasibility: NO! 
Iteration 802; Item picked: Cube_12; Base position: -622.5548075665325 mm; Feasibility: NO! 
Iteration 803; Item picked: Cube_12; Base position: -1373.5197624042564 mm; Feasibility: NO! 
Iteration 804; Item picked: Cube_10; Base position: -832.7679982616922 mm; Feasibility: NO! 
Iteration 805; Item picked: Cube_10; Base position: -1022.5815305352696 mm; Feasibility: NO! 
Iteration 806; Item picked: Cube_10; Base position: 1011.3662326751924 mm; Feasibility: NO! 
Iteration 807; Item picked: Cube_12; Base position: -1457.264324031941 mm; Feasibility: NO! 
Iteration: 808;  Base position: 817.107718840577 mm; Feasibility: YES!; Manipulability: 0.12234 
Iteration 809; Item picked: Cube_10; Base position: 1489.4272584315863 mm; Feasibility: NO! 
Iteration 810; Item picked: Cube_10; Base position: 1201.928644011125 mm; Feasibility: NO! 
Iteration 811; Item picked: Cube_11; Base position: -1274.3502137302478 mm; Feasibility: NO! 
Iteration 812; Item picked: Cube_12; Base position: -905.9196732109591 mm; Feasibility: NO! 
Iteration 813; Item picked: Cube_10; Base position: -947.8162870184341 mm; Feasibility: NO! 
Iteration: 814;  Base position: 395.91293661340546 mm; Feasibility: YES!; Manipulability: 0.11946 
Iteration: 815;  Base position: 683.5006698490129 mm; Feasibility: YES!; Manipulability: 0.10236 
Iteration: 816;  Base position: 883.7410922905683 mm; Feasibility: YES!; Manipulability: 0.09543 
Iteration: 817;  Base position: -518.9892314608514 mm; Feasibility: YES!; Manipulability: 0.13977 
Iteration: 818;  Base position: -307.5478271909417 mm; Feasibility: YES!; Manipulability: 0.1651 
Iteration: 819;  Base position: 835.8839444907826 mm; Feasibility: YES!; Manipulability: 0.10971 
Iteration 820; Item picked: Cube_10; Base position: 1160.0496528858498 mm; Feasibility: NO! 
Iteration 821; Item picked: Cube_11; Base position: -666.7339810443133 mm; Feasibility: NO! 
Iteration 822; Item picked: Cube_11; Base position: -589.3372968283495 mm; Feasibility: NO! 
Iteration 823; Item picked: Cube_11; Base position: 1252.0691612771043 mm; Feasibility: NO! 
Iteration 824; Item picked: Cube_12; Base position: 1267.3956402140434 mm; Feasibility: NO! 
Iteration: 825;  Base position: 622.0486858423255 mm; Feasibility: YES!; Manipulability: 0.14687 
Iteration: 826;  Base position: 782.3197250448184 mm; Feasibility: YES!; Manipulability: 0.11465 
Iteration: 827;  Base position: 18.121196958840528 mm; Feasibility: YES!; Manipulability: 0.17613 
Iteration 828; Item picked: Cube_11; Base position: -567.5437224621232 mm; Feasibility: NO! 
Iteration 829; Item picked: Cube_12; Base position: -1338.1138562565422 mm; Feasibility: NO! 
Iteration 830; Item picked: Cube_12; Base position: 1314.2141421847218 mm; Feasibility: NO! 
Iteration 831; Item picked: Cube_11; Base position: -1076.9961905242922 mm; Feasibility: NO! 
Iteration: 832;  Base position: 206.59768149566094 mm; Feasibility: YES!; Manipulability: 0.15892 
Iteration: 833;  Base position: -255.75311385633995 mm; Feasibility: YES!; Manipulability: 0.15645 
Iteration 834; Item picked: Cube_10; Base position: -862.6844980353407 mm; Feasibility: NO! 
Iteration: 835;  Base position: -453.34408965493026 mm; Feasibility: YES!; Manipulability: 0.15136 
Iteration 836; Item picked: Cube_11; Base position: 1167.9538066632645 mm; Feasibility: NO! 
Iteration: 837;  Base position: -546.8875798979929 mm; Feasibility: YES!; Manipulability: 0.12813 
Iteration: 838;  Base position: 692.7794056270818 mm; Feasibility: YES!; Manipulability: 0.1027 
Iteration: 839;  Base position: 231.06980529604743 mm; Feasibility: YES!; Manipulability: 0.1504 
Iteration 840; Item picked: Cube_12; Base position: -940.788877228156 mm; Feasibility: NO! 
Iteration 841; Item picked: Cube_11; Base position: -1273.959660880605 mm; Feasibility: NO! 
Iteration 842; Item picked: Cube_12; Base position: 1160.725967194901 mm; Feasibility: NO! 
Iteration 843; Item picked: Cube_12; Base position: 1216.700034572376 mm; Feasibility: NO! 
Iteration: 844;  Base position: 510.3533431509877 mm; Feasibility: YES!; Manipulability: 0.13105 
Iteration 845; Item picked: Cube_12; Base position: 1403.6677484227912 mm; Feasibility: NO! 
Iteration: 846;  Base position: 517.9261504344001 mm; Feasibility: YES!; Manipulability: 0.11406 
Iteration 847; Item picked: Cube_12; Base position: -553.9127128980235 mm; Feasibility: NO! 
Iteration 848; Item picked: Cube_10; Base position: -1272.242435494405 mm; Feasibility: NO! 
Iteration: 849;  Base position: 406.03712568298874 mm; Feasibility: YES!; Manipulability: 0.13961 
Iteration 850; Item picked: Cube_10; Base position: 1248.4820503711117 mm; Feasibility: NO! 
Iteration 851; Item picked: Cube_11; Base position: -940.7231547832291 mm; Feasibility: NO! 
Iteration: 852;  Base position: 170.44774931642837 mm; Feasibility: YES!; Manipulability: 0.15383 
Iteration: 853;  Base position: -120.9469562157417 mm; Feasibility: YES!; Manipulability: 0.17972 
Iteration 854; Item picked: Cube_12; Base position: -756.1591669655893 mm; Feasibility: NO! 
Iteration 855; Item picked: Cube_10; Base position: -583.2549371456633 mm; Feasibility: NO! 
Iteration 856; Item picked: Cube_10; Base position: 1186.1405877020843 mm; Feasibility: NO! 
Iteration 857; Item picked: Cube_12; Base position: -1399.6552748158501 mm; Feasibility: NO! 
Iteration 858; Item picked: Cube_12; Base position: -1332.9828547038276 mm; Feasibility: NO! 
Iteration: 859;  Base position: 219.4415503954781 mm; Feasibility: YES!; Manipulability: 0.15659 
Iteration: 860;  Base position: 707.0565763404907 mm; Feasibility: YES!; Manipulability: 0.13958 
Iteration: 861;  Base position: 88.75212302664636 mm; Feasibility: YES!; Manipulability: 0.17035 
Iteration: 862;  Base position: 175.78584664266418 mm; Feasibility: YES!; Manipulability: 0.13858 
Iteration 863; Item picked: Cube_11; Base position: -1368.0405220974403 mm; Feasibility: NO! 
Iteration 864; Item picked: Cube_12; Base position: 1407.8761759737058 mm; Feasibility: NO! 
Iteration 865; Item picked: Cube_12; Base position: 1360.2146268215315 mm; Feasibility: NO! 
Iteration 866; Item picked: Cube_11; Base position: 1050.0956650810294 mm; Feasibility: NO! 
Iteration: 867;  Base position: 81.40211886742259 mm; Feasibility: YES!; Manipulability: 0.14787 
Iteration 868; Item picked: Cube_12; Base position: 1091.000675706433 mm; Feasibility: NO! 
Iteration: 869;  Base position: 631.4845016909508 mm; Feasibility: YES!; Manipulability: 0.12282 
Iteration 870; Item picked: Cube_11; Base position: -1412.530026735274 mm; Feasibility: NO! 
Iteration: 871;  Base position: 401.29927561650584 mm; Feasibility: YES!; Manipulability: 0.13994 
Iteration 872; Item picked: Cube_11; Base position: 1148.726865629273 mm; Feasibility: NO! 
Iteration 873; Item picked: Cube_11; Base position: -1311.7220841902204 mm; Feasibility: NO! 
Iteration: 874;  Base position: 176.58128159419084 mm; Feasibility: YES!; Manipulability: 0.14396 
Iteration: 875;  Base position: 734.0065727363367 mm; Feasibility: YES!; Manipulability: 0.11022 
Iteration: 876;  Base position: 430.4539526406013 mm; Feasibility: YES!; Manipulability: 0.16157 
Iteration 877; Item picked: Cube_12; Base position: -884.0487800777727 mm; Feasibility: NO! 
Iteration 878; Item picked: Cube_12; Base position: 1355.0898469458334 mm; Feasibility: NO! 
Iteration 879; Item picked: Cube_11; Base position: -1391.2920825722133 mm; Feasibility: NO! 
Iteration: 880;  Base position: 101.72335142998918 mm; Feasibility: YES!; Manipulability: 0.18195 
Iteration 881; Item picked: Cube_11; Base position: -790.7437171665081 mm; Feasibility: NO! 
Iteration 882; Item picked: Cube_11; Base position: -1186.7471208103393 mm; Feasibility: NO! 
Iteration 883; Item picked: Cube_12; Base position: -1469.2041143582908 mm; Feasibility: NO! 
Iteration: 884;  Base position: 618.4916607426658 mm; Feasibility: YES!; Manipulability: 0.1471 
Iteration 885; Item picked: Cube_11; Base position: -936.3673193273214 mm; Feasibility: NO! 
Iteration: 886;  Base position: 570.138033584326 mm; Feasibility: YES!; Manipulability: 0.12615 
Iteration 887; Item picked: Cube_12; Base position: -662.3029633909147 mm; Feasibility: NO! 
Iteration: 888;  Base position: -133.25144871760608 mm; Feasibility: YES!; Manipulability: 0.1824 
Iteration: 889;  Base position: 902.8172554155831 mm; Feasibility: YES!; Manipulability: 0.10506 
Iteration: 890;  Base position: -225.9479288516327 mm; Feasibility: YES!; Manipulability: 0.17592 
Iteration 891; Item picked: Cube_11; Base position: -822.5609676713508 mm; Feasibility: NO! 
Iteration 892; Item picked: Cube_12; Base position: 1443.0700992682446 mm; Feasibility: NO! 
Iteration: 893;  Base position: 508.45040383240325 mm; Feasibility: YES!; Manipulability: 0.10393 
Iteration 894; Item picked: Cube_12; Base position: -1191.9744735778609 mm; Feasibility: NO! 
Iteration 895; Item picked: Cube_11; Base position: 1492.8750842237737 mm; Feasibility: NO! 
Iteration 896; Item picked: Cube_11; Base position: 1094.6007625041684 mm; Feasibility: NO! 
Iteration: 897;  Base position: 702.1610196302072 mm; Feasibility: YES!; Manipulability: 0.14 
