Upper and lower bounds for the problem
Iteration: 140;  Base position: 243.1107981767807 mm; Feasibility: YES!; Manipulability: 0.11958 
Iteration: 141;  Base position: -330.4508592801956 mm; Feasibility: YES!; Manipulability: 0.1577 
Iteration: 142;  Base position: 918.7254842688781 mm; Feasibility: YES!; Manipulability: 0.09344 
Iteration 143; Item picked: Cube_10; Base position: -1184.3261128469715 mm; Feasibility: NO! 
Iteration: 144;  Base position: -44.635860859053764 mm; Feasibility: YES!; Manipulability: 0.13886 
Iteration 145; Item picked: Cube_12; Base position: -796.4117901178759 mm; Feasibility: NO! 
Iteration 146; Item picked: Cube_11; Base position: -535.252942850342 mm; Feasibility: NO! 
Iteration: 147;  Base position: -95.41441301671466 mm; Feasibility: YES!; Manipulability: 0.18335 
Iteration: 148;  Base position: 668.6739014225072 mm; Feasibility: YES!; Manipulability: 0.11394 
Iteration 149; Item picked: Cube_10; Base position: 1268.994906107533 mm; Feasibility: NO! 
Iteration 150; Item picked: Cube_12; Base position: -539.4189809474617 mm; Feasibility: NO! 
Iteration 151; Item picked: Cube_11; Base position: -894.7418327361498 mm; Feasibility: NO! 
Iteration 152; Item picked: Cube_10; Base position: -956.612654477604 mm; Feasibility: NO! 
Iteration 153; Item picked: Cube_11; Base position: -656.9036166993719 mm; Feasibility: NO! 
Iteration: 154;  Base position: 759.310504845128 mm; Feasibility: YES!; Manipulability: 0.12253 
Iteration: 155;  Base position: 369.5371387480998 mm; Feasibility: YES!; Manipulability: 0.13133 
Iteration 156; Item picked: Cube_10; Base position: -747.0805916112495 mm; Feasibility: NO! 
Iteration 157; Item picked: Cube_12; Base position: 1098.3595001762428 mm; Feasibility: NO! 
Iteration: 158;  Base position: 467.30020328349156 mm; Feasibility: YES!; Manipulability: 0.1287 
Iteration 159; Item picked: Cube_10; Base position: 1462.236767874927 mm; Feasibility: NO! 
Iteration: 160;  Base position: -73.93111497650989 mm; Feasibility: YES!; Manipulability: 0.14252 
Iteration: 161;  Base position: -92.35361520868082 mm; Feasibility: YES!; Manipulability: 0.17993 
Iteration: 162;  Base position: 82.01350207798987 mm; Feasibility: YES!; Manipulability: 0.1708 
Iteration 163; Item picked: Cube_12; Base position: -1165.6516558076296 mm; Feasibility: NO! 
Iteration: 164;  Base position: 634.3568546441006 mm; Feasibility: YES!; Manipulability: 0.13486 
Iteration 165; Item picked: Cube_12; Base position: 1044.2538042631527 mm; Feasibility: NO! 
Iteration: 166;  Base position: 208.79711490979662 mm; Feasibility: YES!; Manipulability: 0.1345 
Iteration: 167;  Base position: 660.5111426662197 mm; Feasibility: YES!; Manipulability: 0.12139 
Iteration: 168;  Base position: 331.13352187730607 mm; Feasibility: YES!; Manipulability: 0.1162 
Iteration 169; Item picked: Cube_12; Base position: -1398.0770758176768 mm; Feasibility: NO! 
Iteration 170; Item picked: Cube_11; Base position: 1429.8171748647305 mm; Feasibility: NO! 
Iteration 171; Item picked: Cube_12; Base position: -1094.7379626914487 mm; Feasibility: NO! 
Iteration: 172;  Base position: 285.03358943151943 mm; Feasibility: YES!; Manipulability: 0.17126 
Iteration: 173;  Base position: 4.249401623352242 mm; Feasibility: YES!; Manipulability: 0.17692 
Iteration 174; Item picked: Cube_10; Base position: 1186.6846088484222 mm; Feasibility: NO! 
Iteration: 175;  Base position: -411.5771747901574 mm; Feasibility: YES!; Manipulability: 0.15455 
Iteration: 176;  Base position: 40.71037054173962 mm; Feasibility: YES!; Manipulability: 0.16073 
Iteration 177; Item picked: Cube_10; Base position: 1442.009729833258 mm; Feasibility: NO! 
Iteration 178; Item picked: Cube_11; Base position: -1368.8394631950569 mm; Feasibility: NO! 
Iteration 179; Item picked: Cube_11; Base position: -1339.738700407009 mm; Feasibility: NO! 
Iteration: 180;  Base position: 603.3250271679744 mm; Feasibility: YES!; Manipulability: 0.14795 
Iteration 181; Item picked: Cube_12; Base position: -1361.6762932134054 mm; Feasibility: NO! 
Iteration: 182;  Base position: -369.7625107051422 mm; Feasibility: YES!; Manipulability: 0.15722 
Iteration 183; Item picked: Cube_11; Base position: 1030.6259482013725 mm; Feasibility: NO! 
Iteration: 184;  Base position: 612.4939043180702 mm; Feasibility: YES!; Manipulability: 0.12292 
Iteration 185; Item picked: Cube_12; Base position: -589.0292765314932 mm; Feasibility: NO! 
Iteration: 186;  Base position: 322.9969828747494 mm; Feasibility: YES!; Manipulability: 0.13461 
Iteration: 187;  Base position: 261.0489413939497 mm; Feasibility: YES!; Manipulability: 0.11929 
Iteration: 188;  Base position: 828.2730697909492 mm; Feasibility: YES!; Manipulability: 0.10467 
Iteration: 189;  Base position: 188.88356153432687 mm; Feasibility: YES!; Manipulability: 0.14324 
Iteration 190; Item picked: Cube_10; Base position: -686.428611006356 mm; Feasibility: NO! 
Iteration: 191;  Base position: 713.6800341914009 mm; Feasibility: YES!; Manipulability: 0.13027 
Iteration 192; Item picked: Cube_12; Base position: -350.19975886076145 mm; Feasibility: NO! 
Iteration 193; Item picked: Cube_12; Base position: 1366.9601599232633 mm; Feasibility: NO! 
Iteration 194; Item picked: Cube_12; Base position: 1313.4208615690482 mm; Feasibility: NO! 
Iteration: 195;  Base position: 249.10116717998676 mm; Feasibility: YES!; Manipulability: 0.13136 
Iteration: 196;  Base position: 623.7655228452654 mm; Feasibility: YES!; Manipulability: 0.14681 
Iteration 197; Item picked: Cube_11; Base position: -535.990131023062 mm; Feasibility: NO! 
Iteration: 198;  Base position: 797.8062971374334 mm; Feasibility: YES!; Manipulability: 0.10525 
Iteration: 199;  Base position: 668.7839560674215 mm; Feasibility: YES!; Manipulability: 0.12269 
Iteration 200; Item picked: Cube_12; Base position: -568.0026363200167 mm; Feasibility: NO! 
Iteration: 201;  Base position: 2.5228218466475028 mm; Feasibility: YES!; Manipulability: 0.14086 
