Upper and lower bounds for the problem
Iteration: 195;  Base position: -192.69397569283365 mm; Feasibility: YES!; Manipulability: 0.19644 
Iteration 196; Item picked: Cube_01; Base position: -773.1703607464749 mm; Feasibility: NO! 
Iteration 197; Item picked: Cube_01; Base position: 1309.3887795528594 mm; Feasibility: NO! 
Iteration 198; Item picked: Cube_01; Base position: -1278.3518896155615 mm; Feasibility: NO! 
Iteration 199; Item picked: Cube_02; Base position: -848.78969055301 mm; Feasibility: NO! 
Iteration 200; Item picked: Cube_01; Base position: -592.7251134334874 mm; Feasibility: NO! 
Iteration: 201;  Base position: -389.8145369893846 mm; Feasibility: YES!; Manipulability: 0.16248 
Iteration 202; Item picked: Cube_00; Base position: -829.3259524630728 mm; Feasibility: NO! 
Iteration: 203;  Base position: 169.04568555301466 mm; Feasibility: YES!; Manipulability: 0.19423 
Iteration: 204;  Base position: 232.993339721005 mm; Feasibility: YES!; Manipulability: 0.20099 
Iteration: 205;  Base position: -94.4213456944367 mm; Feasibility: YES!; Manipulability: 0.15779 
Iteration 206; Item picked: Cube_00; Base position: 1099.3164571223665 mm; Feasibility: NO! 
Iteration: 207;  Base position: 322.1584112448761 mm; Feasibility: YES!; Manipulability: 0.18146 
Iteration 208; Item picked: Cube_01; Base position: 1280.1399895459895 mm; Feasibility: NO! 
Iteration 209; Item picked: Cube_02; Base position: 1294.6071737231696 mm; Feasibility: NO! 
Iteration 210; Item picked: Cube_02; Base position: 972.2700942485098 mm; Feasibility: NO! 
Iteration 211; Item picked: Cube_01; Base position: 780.9131604231457 mm; Feasibility: NO! 
Iteration 212; Item picked: Cube_02; Base position: 704.655084982377 mm; Feasibility: NO! 
Iteration: 213;  Base position: 119.83035490375732 mm; Feasibility: YES!; Manipulability: 0.22306 
Iteration 214; Item picked: Cube_00; Base position: -1418.184537062166 mm; Feasibility: NO! 
Iteration: 215;  Base position: -46.774473544347984 mm; Feasibility: YES!; Manipulability: 0.2294 
Iteration 216; Item picked: Cube_00; Base position: 988.8961010953631 mm; Feasibility: NO! 
Iteration 217; Item picked: Cube_01; Base position: -1344.3242105726458 mm; Feasibility: NO! 
Iteration: 218;  Base position: -143.1919919396305 mm; Feasibility: YES!; Manipulability: 0.1986 
Iteration 219; Item picked: Cube_00; Base position: -1373.53842341627 mm; Feasibility: NO! 
Iteration 220; Item picked: Cube_01; Base position: 859.0451498223765 mm; Feasibility: NO! 
Iteration 221; Item picked: Cube_00; Base position: -1101.8729904882334 mm; Feasibility: NO! 
Iteration: 222;  Base position: -398.1862455778812 mm; Feasibility: YES!; Manipulability: 0.18399 
Iteration 223; Item picked: Cube_01; Base position: 780.5507979225522 mm; Feasibility: NO! 
Iteration 224; Item picked: Cube_01; Base position: -1260.8675465527215 mm; Feasibility: NO! 
Iteration 225; Item picked: Cube_01; Base position: 826.0998434775665 mm; Feasibility: NO! 
Iteration: 226;  Base position: -479.26286702440746 mm; Feasibility: YES!; Manipulability: 0.15269 
Iteration 227; Item picked: Cube_00; Base position: -962.1826034241734 mm; Feasibility: NO! 
Iteration: 228;  Base position: 140.78304482956423 mm; Feasibility: YES!; Manipulability: 0.1991 
Iteration: 229;  Base position: 149.96657023422858 mm; Feasibility: YES!; Manipulability: 0.18118 
Iteration: 230;  Base position: -132.8100478538497 mm; Feasibility: YES!; Manipulability: 0.18527 
Iteration 231; Item picked: Cube_00; Base position: -660.8285739846049 mm; Feasibility: NO! 
Iteration 232; Item picked: Cube_02; Base position: 461.7759009467036 mm; Feasibility: NO! 
Iteration 233; Item picked: Cube_00; Base position: 1089.08993610791 mm; Feasibility: NO! 
Iteration: 234;  Base position: 308.5776414143918 mm; Feasibility: YES!; Manipulability: 0.18279 
Iteration 235; Item picked: Cube_02; Base position: 1468.2045529549778 mm; Feasibility: NO! 
Iteration 236; Item picked: Cube_02; Base position: -1130.9747267168896 mm; Feasibility: NO! 
Iteration 237; Item picked: Cube_02; Base position: 807.7370394994823 mm; Feasibility: NO! 
Iteration: 238;  Base position: -81.78348019822988 mm; Feasibility: YES!; Manipulability: 0.18572 
Iteration 239; Item picked: Cube_01; Base position: 1398.5069113371724 mm; Feasibility: NO! 
Iteration 240; Item picked: Cube_00; Base position: 1039.2955630988786 mm; Feasibility: NO! 
Iteration 241; Item picked: Cube_02; Base position: 1054.3469421533969 mm; Feasibility: NO! 
Iteration: 242;  Base position: -211.02261591827187 mm; Feasibility: YES!; Manipulability: 0.20311 
Iteration 243; Item picked: Cube_01; Base position: 704.6333029764237 mm; Feasibility: NO! 
Iteration 244; Item picked: Cube_00; Base position: 474.23114887527277 mm; Feasibility: NO! 
Iteration: 245;  Base position: -79.92474821168207 mm; Feasibility: YES!; Manipulability: 0.21429 
Iteration: 246;  Base position: -435.9045813916514 mm; Feasibility: YES!; Manipulability: 0.15581 
Iteration 247; Item picked: Cube_02; Base position: 859.1456352767823 mm; Feasibility: NO! 
Iteration 248; Item picked: Cube_00; Base position: -1364.6155513025687 mm; Feasibility: NO! 
Iteration: 249;  Base position: 1.2923387828004707 mm; Feasibility: YES!; Manipulability: 0.17819 
Iteration 250; Item picked: Cube_01; Base position: -618.824420058253 mm; Feasibility: NO! 
Iteration 251; Item picked: Cube_00; Base position: 481.003413721641 mm; Feasibility: NO! 
Iteration: 252;  Base position: -408.6014343490972 mm; Feasibility: YES!; Manipulability: 0.16692 
